Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;26.04.14;Hertha;Braunschweig;H;20;7;0;0;0;0
D1;26.04.14;Hoffenheim;Ein Frankfurt;D;18;8;0;4;1;0
D1;26.04.14;Leverkusen;Dortmund;D;16;14;1;1;0;0
D1;26.04.14;Mainz;Nurnberg;H;18;13;0;2;0;0
D1;26.04.14;Wolfsburg;Freiburg;D;23;13;2;2;0;0
D1;27.04.14;Augsburg;Hamburg;H;15;19;1;2;0;0
D1;27.04.14;Schalke 04;M'gladbach;A;17;12;2;0;0;0
D1;03.05.14;Braunschweig;Augsburg;A;17;24;2;2;0;0
D1;03.05.14;Dortmund;Hoffenheim;H;16;12;0;1;0;0
D1;03.05.14;Ein Frankfurt;Leverkusen;A;6;21;2;1;0;0
D1;03.05.14;Freiburg;Schalke 04;A;10;26;2;2;0;1
D1;03.05.14;Hamburg;Bayern Munich;A;10;18;1;1;0;1
D1;03.05.14;M'gladbach;Mainz;H;7;18;0;0;0;0
D1;03.05.14;Nurnberg;Hannover;A;15;14;3;1;0;0
D1;03.05.14;Stuttgart;Wolfsburg;A;6;13;1;1;0;0
D1;03.05.14;Werder Bremen;Hertha;H;12;11;3;1;0;0
D1;10.05.14;Augsburg;Ein Frankfurt;H;17;7;0;2;0;0
D1;10.05.14;Bayern Munich;Stuttgart;H;24;8;2;2;0;0
D1;10.05.14;Hannover;Freiburg;H;19;12;1;2;0;0
D1;10.05.14;Hertha;Dortmund;A;10;13;2;0;0;0
D1;10.05.14;Hoffenheim;Braunschweig;H;16;6;3;0;0;0
D1;10.05.14;Leverkusen;Werder Bremen;H;14;8;2;0;0;0
D1;10.05.14;Mainz;Hamburg;H;13;20;0;0;0;0
D1;10.05.14;Schalke 04;Nurnberg;H;22;11;0;5;0;0
D1;10.05.14;Wolfsburg;M'gladbach;H;19;13;2;4;0;0
