Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;26.04.14;Hoffenheim;Ein Frankfurt;0;0;D;18;8;5;3;0;4;1;0
D1;26.04.14;Leverkusen;Dortmund;2;2;D;16;14;5;6;1;1;0;0
D1;26.04.14;Mainz;Nurnberg;2;0;H;18;13;5;1;0;2;0;0
D1;26.04.14;Wolfsburg;Freiburg;2;2;D;23;13;7;7;2;2;0;0
D1;27.04.14;Augsburg;Hamburg;3;1;H;15;19;5;5;1;2;0;0
D1;27.04.14;Schalke 04;M'gladbach;0;1;A;17;12;6;6;2;0;0;0
D1;03.05.14;Braunschweig;Augsburg;0;1;A;17;24;6;10;2;2;0;0
D1;03.05.14;Dortmund;Hoffenheim;3;2;H;16;12;10;4;0;1;0;0
D1;03.05.14;Ein Frankfurt;Leverkusen;0;2;A;6;21;2;5;2;1;0;0
D1;03.05.14;Freiburg;Schalke 04;0;2;A;10;26;1;6;2;2;0;1
D1;03.05.14;Hamburg;Bayern Munich;1;4;A;10;18;5;8;1;1;0;1
D1;03.05.14;M'gladbach;Mainz;3;1;H;7;18;4;4;0;0;0;0
D1;03.05.14;Nurnberg;Hannover;0;2;A;15;14;8;7;3;1;0;0
D1;03.05.14;Stuttgart;Wolfsburg;1;2;A;6;13;2;6;1;1;0;0
D1;03.05.14;Werder Bremen;Hertha;2;0;H;12;11;4;4;3;1;0;0
D1;10.05.14;Augsburg;Ein Frankfurt;2;1;H;17;7;7;2;0;2;0;0
D1;10.05.14;Bayern Munich;Stuttgart;1;0;H;24;8;6;2;2;2;0;0
D1;10.05.14;Hannover;Freiburg;3;2;H;19;12;9;7;1;2;0;0
D1;10.05.14;Hertha;Dortmund;0;4;A;10;13;5;7;2;0;0;0
D1;10.05.14;Hoffenheim;Braunschweig;3;1;H;16;6;8;2;3;0;0;0
D1;10.05.14;Leverkusen;Werder Bremen;2;1;H;14;8;6;2;2;0;0;0
D1;10.05.14;Mainz;Hamburg;3;2;H;13;20;6;7;0;0;0;0
D1;10.05.14;Schalke 04;Nurnberg;4;1;H;22;11;11;4;0;5;0;0
D1;10.05.14;Wolfsburg;M'gladbach;3;1;H;19;13;10;3;2;4;0;0
