Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;11.12.10;Hoffenheim;Nurnberg;1;1;D;D;19;11;4;4;1;3;0;0
D1;11.12.10;Kaiserslautern;Wolfsburg;0;0;D;D;18;5;2;0;1;3;0;0
D1;12.12.10;Freiburg;M'gladbach;3;0;H;H;22;14;8;6;1;2;0;0
D1;12.12.10;Mainz;Schalke 04;0;1;A;A;7;10;4;2;3;2;0;0
D1;17.12.10;M'gladbach;Hamburg;1;2;A;D;18;15;8;9;1;0;0;0
D1;18.12.10;Ein Frankfurt;Dortmund;1;0;H;D;12;9;4;1;2;2;0;0
D1;18.12.10;Nurnberg;Hannover;3;1;H;H;19;5;9;1;1;4;0;0
D1;18.12.10;Schalke 04;FC Koln;3;0;H;H;16;6;6;1;0;1;0;0
D1;18.12.10;St Pauli;Mainz;2;4;A;A;14;20;6;7;2;1;0;0
D1;18.12.10;Werder Bremen;Kaiserslautern;1;2;A;D;22;17;5;7;2;2;1;1
D1;18.12.10;Wolfsburg;Hoffenheim;2;2;D;A;13;15;5;7;2;1;0;0
D1;19.12.10;Leverkusen;Freiburg;2;2;D;D;14;8;6;4;3;1;0;0
D1;19.12.10;Stuttgart;Bayern Munich;3;5;A;A;12;10;7;9;3;1;0;0
D1;14.01.11;Leverkusen;Dortmund;1;3;A;D;12;11;3;5;2;1;0;0
D1;15.01.11;Nurnberg;M'gladbach;0;1;A;A;17;6;4;3;1;3;0;0
D1;15.01.11;Schalke 04;Hamburg;0;1;A;D;10;9;1;3;3;3;0;0
D1;15.01.11;St Pauli;Freiburg;2;2;D;H;11;9;6;7;1;1;0;0
D1;15.01.11;Stuttgart;Mainz;1;0;H;D;7;16;2;4;1;2;0;0
D1;15.01.11;Werder Bremen;Hoffenheim;2;1;H;H;12;8;4;2;3;2;0;0
D1;15.01.11;Wolfsburg;Bayern Munich;1;1;D;A;10;14;4;6;2;2;0;0
D1;16.01.11;Ein Frankfurt;Hannover;0;3;A;A;12;16;4;6;1;1;0;0
D1;16.01.11;Kaiserslautern;FC Koln;1;1;D;A;15;14;4;3;1;6;1;0
